Date,AAPL,MSFT,MC.PA,AIR.PA
2024-01-01,186.18,378.86,723.42,138.95
2024-01-02,185.94,383.39,718.56,139.36
2024-01-03,187.46,377.21,712.67,137.87
2024-01-04,190.96,375.43,704.13,139.2
2024-01-05,190.5,380.89,704.67,138.22
2024-01-08,190.04,378.15,696.55,138.51
2024-01-09,193.72,380.22,699.25,143.19
2024-01-10,195.58,383.69,698.83,143.08
2024-01-11,194.56,380.01,696.56,145.29
2024-01-12,195.9,379.99,687.78,144.04
2024-01-15,194.89,366.67,682.3,144.04
2024-01-16,193.88,362.76,689.58,147.43
2024-01-17,194.52,361.97,694.49,146.3
2024-01-18,190.13,357.21,685.05,149.83
2024-01-19,186.27,363.84,686.07,151.28
2024-01-22,185.09,358.34,693.36,150.25
2024-01-23,182.92,356.82,677.22,151.56
2024-01-24,183.68,357.55,682.44,153.55
2024-01-25,181.75,363.43,676.18,154.87
2024-01-26,178.74,357.91,681.65,151.78
2024-01-29,181.96,362.7,674.43,150.43
2024-01-30,181.54,362.96,657.46,150.02
2024-01-31,181.76,359.26,642.54,149.95
2024-02-01,178.72,361.3,643.04,151.23
2024-02-02,177.63,362.31,645.44,151.66
2024-02-05,177.93,360.13,637.34,149.1
2024-02-06,175.55,360.63,643.1,149.91
2024-02-07,176.41,359.31,628.2,151.18
2024-02-08,175.21,359.98,627.69,152.35
2024-02-09,174.67,362.82,617.11,154.57
2024-02-12,173.47,369.36,611.54,156.32
2024-02-13,177.4,364.56,612.0,157.33
2024-02-14,177.44,373.33,604.69,157.27
2024-02-15,175.26,365.54,601.5,153.95
2024-02-16,177.06,365.14,610.03,154.89
2024-02-19,174.54,367.73,605.17,155.38
2024-02-20,175.05,369.08,612.31,156.01
2024-02-21,171.0,366.78,602.68,153.5
2024-02-22,168.34,366.16,607.21,151.42
2024-02-23,168.81,364.39,619.53,153.57
2024-02-26,170.37,362.25,598.15,153.56
2024-02-27,170.79,365.85,591.54,155.0
2024-02-28,170.62,367.51,596.38,155.14
2024-02-29,170.07,364.93,594.74,155.27
2024-03-01,167.12,368.76,597.89,157.25
2024-03-04,165.75,370.22,592.9,156.27
2024-03-05,164.9,373.76,593.67,156.54
